matricule;credits_capitalized;mpc;classe;dette;dotation
18B198;56;2,80;IMG2;0;995000
18B250;22;0,57;IMG1;0;995000
18B026;56;3,18;IMG2;0;995000
18B260;44;1,72;IMG2;0;995000
18B059;56;2,05;IMG2;0;995000
18B010;56;2,94;IMG2;0;995000
18B184;56;2,23;IMG2;0;995000
18B133;50;2,02;IMG2;0;995000
18B058;44;1,68;IMG2;0;995000
18B030;56;2,33;IMG2;0;995000
18B003;42;1,66;IMG2;0;995000
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
